epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.66252,2.12214,4.08656,1.71186,0.02429,0.66667,0.3975,0.19468,1.47859,3.73363,1.16126,0,0,0
2,16.4162,2.09745,4.02105,1.68703,0.02429,0.66667,0.3975,0.19468,1.47859,3.73363,1.16126,0.000293001,0.000293001,0.000293001
3,24.6496,1.78202,3.97271,1.53876,0.02429,0.66667,0.3975,0.19468,1.47859,3.73363,1.16126,0.000566004,0.000566004,0.000566004
4,38.0071,2.18643,4.01051,1.702,0.02137,0.66667,0.66333,0.46417,1.39517,3.56421,1.29481,0.000819009,0.000819009,0.000819009
5,50.0806,1.13855,3.35764,1.12423,0.02137,0.66667,0.66333,0.46417,1.39517,3.56421,1.29481,0.000789012,0.000789012,0.000789012
6,58.7773,1.20156,3.30807,1.20509,0.02137,0.66667,0.66333,0.46417,1.39517,3.56421,1.29481,0.000759015,0.000759015,0.000759015
7,67.6265,1.25556,3.31151,1.23511,0.02343,0.66667,0.4975,0.398,1.09579,3.38598,1.29862,0.000729018,0.000729018,0.000729018
8,78.2102,0.92311,2.58722,1.08073,0.02343,0.66667,0.4975,0.398,1.09579,3.38598,1.29862,0.000699021,0.000699021,0.000699021
9,87.6824,0.88916,2.67283,1.08008,0.02343,0.66667,0.4975,0.398,1.09579,3.38598,1.29862,0.000669024,0.000669024,0.000669024
10,97.1157,0.91888,2.69488,1.09085,0.0205,0.66667,0.66333,0.53067,0.91552,3.23019,1.16293,0.000639027,0.000639027,0.000639027
11,106.917,0.86549,2.50999,1.13126,0.0205,0.66667,0.66333,0.53067,0.91552,3.23019,1.16293,0.00060903,0.00060903,0.00060903
12,117.78,0.85926,2.31886,1.05265,0.0205,0.66667,0.66333,0.53067,0.91552,3.23019,1.16293,0.000579033,0.000579033,0.000579033
13,126.122,0.83181,2.82423,1.09324,0.0231,0.66667,0.66333,0.45356,0.97471,3.15395,1.17428,0.000549036,0.000549036,0.000549036
14,135.419,0.78768,1.89573,1.04479,0.0231,0.66667,0.66333,0.45356,0.97471,3.15395,1.17428,0.000519039,0.000519039,0.000519039
15,145.442,0.8416,1.77829,1.00427,0.0231,0.66667,0.66333,0.45356,0.97471,3.15395,1.17428,0.000489042,0.000489042,0.000489042
16,155.459,0.89887,1.93119,1.118,0.02519,0.66667,0.60778,0.44183,1.09508,3.10129,1.17605,0.000459045,0.000459045,0.000459045
17,164.853,0.89072,1.81259,1.06018,0.02519,0.66667,0.60778,0.44183,1.09508,3.10129,1.17605,0.000429048,0.000429048,0.000429048
18,174.425,0.80614,1.75623,1.05744,0.02519,0.66667,0.60778,0.44183,1.09508,3.10129,1.17605,0.000399051,0.000399051,0.000399051
19,183.736,0.80449,1.7237,1.08533,0.03115,0.66667,0.66333,0.57208,0.9499,2.97299,1.09615,0.000369054,0.000369054,0.000369054
20,193.082,0.83616,1.59867,1.02156,0.03115,0.66667,0.66333,0.57208,0.9499,2.97299,1.09615,0.000339057,0.000339057,0.000339057
21,202.814,0.88043,1.87448,1.05414,0.03115,0.66667,0.66333,0.57208,0.9499,2.97299,1.09615,0.00030906,0.00030906,0.00030906
22,213.319,0.76969,2.0005,1.06174,0.03492,0.66667,0.66333,0.597,0.78769,2.89384,1.00491,0.000279063,0.000279063,0.000279063
23,223.735,0.78111,1.72739,1.03974,0.03492,0.66667,0.66333,0.597,0.78769,2.89384,1.00491,0.000249066,0.000249066,0.000249066
24,233.891,0.83726,1.63874,1.00083,0.03492,0.66667,0.66333,0.597,0.78769,2.89384,1.00491,0.000219069,0.000219069,0.000219069
25,243.392,0.76412,1.79407,1.12026,0.03428,0.66667,0.66333,0.60525,0.75107,2.80437,0.97434,0.000189072,0.000189072,0.000189072
26,253.093,0.80411,1.54906,1.01831,0.03428,0.66667,0.66333,0.60525,0.75107,2.80437,0.97434,0.000159075,0.000159075,0.000159075
27,262.271,0.6996,1.52502,0.9914,0.03428,0.66667,0.66333,0.60525,0.75107,2.80437,0.97434,0.000129078,0.000129078,0.000129078
28,271.255,0.70099,1.63708,1.00116,0.03979,1,0.68544,0.5936,0.74741,2.72374,0.95087,9.9081e-05,9.9081e-05,9.9081e-05
29,280.497,0.65174,1.53645,0.9658,0.03979,1,0.68544,0.5936,0.74741,2.72374,0.95087,6.9084e-05,6.9084e-05,6.9084e-05
30,290.493,0.69082,1.47752,0.99459,0.03979,1,0.68544,0.5936,0.74741,2.72374,0.95087,3.9087e-05,3.9087e-05,3.9087e-05
