epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2578,4.05199,5.68361,2.68484,0,0,0,0,4.21789,7.00795,2.61209,0,0,0
2,47.8441,3.98496,5.6408,2.78393,0,0,0,0,4.21789,7.00795,2.61209,0.000358112,0.000358112,0.000358112
3,70.616,4.04163,5.32878,2.59253,0,0,0,0,4.21789,7.00795,2.61209,0.000691783,0.000691783,0.000691783
4,93.6821,4.01241,5.23766,2.58946,0.59054,0.375,0.16227,0.01911,3.47523,24.5687,2.07814,0.00100101,0.00100101,0.00100101
5,117.043,3.00705,61.1691,1.58093,0.59054,0.375,0.16227,0.01911,3.47523,24.5687,2.07814,0.000964348,0.000964348,0.000964348
6,139.536,3.01059,44.2693,1.57206,0.59054,0.375,0.16227,0.01911,3.47523,24.5687,2.07814,0.000927685,0.000927685,0.000927685
7,164.015,3.01865,35.6467,1.51369,0,0,0,0,3.06311,7.83994,1.72491,0.000891022,0.000891022,0.000891022
8,188.447,2.93644,5.70267,1.64888,0,0,0,0,3.06311,7.83994,1.72491,0.000854359,0.000854359,0.000854359
9,211.979,3.00025,6.46656,1.64856,0,0,0,0,3.06311,7.83994,1.72491,0.000817696,0.000817696,0.000817696
10,233.544,3.1035,6.29803,1.68605,0.00264,0.125,0.00082,0.00033,2.29194,30.1426,1.4411,0.000781033,0.000781033,0.000781033
11,254.084,2.55604,3.8831,1.41989,0.00264,0.125,0.00082,0.00033,2.29194,30.1426,1.4411,0.00074437,0.00074437,0.00074437
12,276.708,2.46314,3.60084,1.45187,0.00264,0.125,0.00082,0.00033,2.29194,30.1426,1.4411,0.000707707,0.000707707,0.000707707
13,298.558,2.38401,3.81116,1.50449,0.0597,0.375,0.14719,0.05238,1.9563,29.3237,1.23543,0.000671044,0.000671044,0.000671044
14,319.703,2.14426,2.69716,1.29702,0.0597,0.375,0.14719,0.05238,1.9563,29.3237,1.23543,0.000634381,0.000634381,0.000634381
15,341.28,2.01324,2.91149,1.23037,0.0597,0.375,0.14719,0.05238,1.9563,29.3237,1.23543,0.000597718,0.000597718,0.000597718
16,364.866,2.15494,3.06251,1.33307,0.19169,0.25,0.17564,0.0749,1.58327,9.62031,1.08901,0.000561055,0.000561055,0.000561055
17,385.599,1.88355,2.28944,1.1812,0.19169,0.25,0.17564,0.0749,1.58327,9.62031,1.08901,0.000524392,0.000524392,0.000524392
18,405.798,1.61523,2.24725,1.17351,0.19169,0.25,0.17564,0.0749,1.58327,9.62031,1.08901,0.000487729,0.000487729,0.000487729
19,426.404,1.77942,2.45827,1.2064,0.69861,0.375,0.47321,0.2992,1.32767,5.02641,1.02017,0.000451066,0.000451066,0.000451066
20,448.162,1.1793,1.98336,1.16437,0.69861,0.375,0.47321,0.2992,1.32767,5.02641,1.02017,0.000414403,0.000414403,0.000414403
21,470.04,1.39974,2.72008,1.12965,0.69861,0.375,0.47321,0.2992,1.32767,5.02641,1.02017,0.00037774,0.00037774,0.00037774
22,491.996,1.45649,2.34805,1.27737,0.68933,1,0.7835,0.44438,1.10614,3.24731,0.98964,0.000341077,0.000341077,0.000341077
23,512.814,1.1921,1.99034,1.16719,0.68933,1,0.7835,0.44438,1.10614,3.24731,0.98964,0.000304414,0.000304414,0.000304414
24,535.147,1.28569,2.02936,1.14617,0.68933,1,0.7835,0.44438,1.10614,3.24731,0.98964,0.000267751,0.000267751,0.000267751
25,557.172,1.16495,2.10431,1.22099,0.4182,1,0.78179,0.47618,0.99204,2.49227,0.95522,0.000231088,0.000231088,0.000231088
26,578.584,1.04249,1.92705,1.18588,0.4182,1,0.78179,0.47618,0.99204,2.49227,0.95522,0.000194425,0.000194425,0.000194425
27,598.687,1.16513,1.99068,1.12915,0.4182,1,0.78179,0.47618,0.99204,2.49227,0.95522,0.000157762,0.000157762,0.000157762
28,618.149,1.19913,1.95259,1.15801,0.38981,0.96239,0.76361,0.47193,0.92788,2.03008,0.93428,0.000121099,0.000121099,0.000121099
29,638.035,0.94374,1.86631,1.13798,0.38981,0.96239,0.76361,0.47193,0.92788,2.03008,0.93428,8.4436e-05,8.4436e-05,8.4436e-05
30,659.402,1.03377,1.83059,1.08835,0.38981,0.96239,0.76361,0.47193,0.92788,2.03008,0.93428,4.7773e-05,4.7773e-05,4.7773e-05
