epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2023,4.05199,5.68361,2.68484,0,0,0,0,4.21789,7.00795,2.61209,0,0,0
2,48.4212,3.98496,5.6408,2.78393,0,0,0,0,4.21789,7.00795,2.61209,0.000358112,0.000358112,0.000358112
3,72.5183,4.04163,5.32878,2.59253,0,0,0,0,4.21789,7.00795,2.61209,0.000691783,0.000691783,0.000691783
4,97.7845,4.01241,5.23766,2.58946,0.59054,0.375,0.16227,0.01911,3.47523,24.5687,2.07814,0.00100101,0.00100101,0.00100101
5,124.031,3.00705,61.1691,1.58093,0.59054,0.375,0.16227,0.01911,3.47523,24.5687,2.07814,0.000964348,0.000964348,0.000964348
6,147.522,3.01059,44.2693,1.57206,0.59054,0.375,0.16227,0.01911,3.47523,24.5687,2.07814,0.000927685,0.000927685,0.000927685
7,171.297,3.01865,35.6467,1.51369,0,0,0,0,3.06311,7.83994,1.72491,0.000891022,0.000891022,0.000891022
8,194.075,2.93644,5.70267,1.64888,0,0,0,0,3.06311,7.83994,1.72491,0.000854359,0.000854359,0.000854359
9,217.328,3.00025,6.46656,1.64856,0,0,0,0,3.06311,7.83994,1.72491,0.000817696,0.000817696,0.000817696
