epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0053,2.26448,3.97055,1.73391,0.01373,0.5,0.03472,0.02024,1.47563,3.73028,1.15933,0,0,0
2,25.1403,2.3619,4.0548,1.83673,0.01373,0.5,0.03472,0.02024,1.47563,3.73028,1.15933,0.000293001,0.000293001,0.000293001
3,34.6793,1.94821,4.12304,1.55905,0.01373,0.5,0.03472,0.02024,1.47563,3.73028,1.15933,0.000566004,0.000566004,0.000566004
4,44.2513,2.07656,4.05892,1.66619,0.01578,0.66667,0.55278,0.30956,1.67811,3.56834,1.33379,0.000819009,0.000819009,0.000819009
5,53.8507,1.32707,3.20005,1.24368,0.01578,0.66667,0.55278,0.30956,1.67811,3.56834,1.33379,0.000789012,0.000789012,0.000789012
6,63.5639,1.25538,3.21025,1.21473,0.01578,0.66667,0.55278,0.30956,1.67811,3.56834,1.33379,0.000759015,0.000759015,0.000759015
7,73.2223,1.25276,3.24496,1.22295,0.01671,0.66667,0.4975,0.38142,0.89557,3.36837,1.08869,0.000729018,0.000729018,0.000729018
8,82.4001,0.97814,2.62158,1.13157,0.01671,0.66667,0.4975,0.38142,0.89557,3.36837,1.08869,0.000699021,0.000699021,0.000699021
9,95.9066,1.00662,2.70199,1.12683,0.01671,0.66667,0.4975,0.38142,0.89557,3.36837,1.08869,0.000669024,0.000669024,0.000669024
10,108.8,1.00609,2.53506,1.08754,0.01779,0.66667,0.4975,0.41458,0.7969,3.04343,1.10789,0.000639027,0.000639027,0.000639027
11,119.84,1.05333,1.95882,1.17656,0.01779,0.66667,0.4975,0.41458,0.7969,3.04343,1.10789,0.00060903,0.00060903,0.00060903
12,129.667,1.19321,1.90469,1.20548,0.01779,0.66667,0.4975,0.41458,0.7969,3.04343,1.10789,0.000579033,0.000579033,0.000579033
13,138.736,1.08496,2.09681,1.21386,0.01775,0.66667,0.66333,0.597,0.84137,2.71724,1.2177,0.000549036,0.000549036,0.000549036
14,147.82,0.97714,1.92476,1.17443,0.01775,0.66667,0.66333,0.597,0.84137,2.71724,1.2177,0.000519039,0.000519039,0.000519039
15,156.838,0.99437,1.70104,1.16841,0.01775,0.66667,0.66333,0.597,0.84137,2.71724,1.2177,0.000489042,0.000489042,0.000489042
16,166.401,0.94972,1.77518,1.16376,0.95697,0.33333,0.66333,0.597,0.8428,2.435,1.17901,0.000459045,0.000459045,0.000459045
17,175.277,0.90577,1.56201,1.13045,0.95697,0.33333,0.66333,0.597,0.8428,2.435,1.17901,0.000429048,0.000429048,0.000429048
18,184.241,0.86629,1.60618,1.08571,0.95697,0.33333,0.66333,0.597,0.8428,2.435,1.17901,0.000399051,0.000399051,0.000399051
